Date,vis_team,home_team,vis_score,home_score
20170407,SEA,ANA,1,5
20170408,SEA,ANA,4,5
20170409,SEA,ANA,9,10
20170411,TEX,ANA,5,6
20170412,TEX,ANA,8,3
20170413,TEX,ANA,8,3
20170421,TOR,ANA,8,7
20170422,TOR,ANA,4,5
20170423,TOR,ANA,6,2
20170424,TOR,ANA,1,2
20170425,OAK,ANA,1,2
20170426,OAK,ANA,5,8
20170427,OAK,ANA,1,2
20170505,HOU,ANA,7,6
20170506,HOU,ANA,1,2
20170507,HOU,ANA,5,3
20170511,DET,ANA,7,1
20170512,DET,ANA,0,7
20170513,DET,ANA,4,3
20170514,DET,ANA,1,4
20170515,CHA,ANA,3,5
20170516,CHA,ANA,6,7
20170517,CHA,ANA,8,12
20170529,ATL,ANA,6,3
20170530,ATL,ANA,3,9
20170531,ATL,ANA,1,2
20170601,MIN,ANA,4,2
20170602,MIN,ANA,11,5
20170603,MIN,ANA,2,7
20170604,MIN,ANA,3,2
20170612,NYA,ANA,5,3
20170613,NYA,ANA,2,3
20170614,NYA,ANA,5,7
20170615,KCA,ANA,7,2
20170616,KCA,ANA,3,1
20170617,KCA,ANA,0,9
20170618,KCA,ANA,7,3
20170628,LAN,ANA,2,3
20170629,LAN,ANA,6,2
20170630,SEA,ANA,10,0
20170701,SEA,ANA,0,4
20170702,SEA,ANA,5,3
20170714,TBA,ANA,2,1
20170715,TBA,ANA,6,3
20170716,TBA,ANA,3,4
20170718,WAS,ANA,4,3
20170719,WAS,ANA,0,7
20170721,BOS,ANA,6,2
20170722,BOS,ANA,3,7
20170723,BOS,ANA,2,3
20170801,PHI,ANA,1,7
20170802,PHI,ANA,0,7
20170803,PHI,ANA,4,5
20170804,OAK,ANA,6,8
20170805,OAK,ANA,5,0
20170806,OAK,ANA,11,10
20170807,BAL,ANA,6,2
20170808,BAL,ANA,2,3
20170809,BAL,ANA,1,5
20170821,TEX,ANA,5,3
20170822,TEX,ANA,1,10
20170823,TEX,ANA,7,5
20170824,TEX,ANA,3,0
20170825,HOU,ANA,2,1
20170826,HOU,ANA,6,7
20170827,HOU,ANA,7,5
20170828,OAK,ANA,1,3
20170829,OAK,ANA,2,8
20170830,OAK,ANA,8,10
20170912,HOU,ANA,1,0
20170913,HOU,ANA,1,9
20170914,HOU,ANA,5,2
20170915,TEX,ANA,6,7
20170916,TEX,ANA,0,2
20170917,TEX,ANA,4,2
20170919,CLE,ANA,6,3
20170920,CLE,ANA,6,5
20170921,CLE,ANA,4,1
20170929,SEA,ANA,5,6
20170930,SEA,ANA,6,4
20171001,SEA,ANA,2,6
20170402,SFN,ARI,5,6
20170404,SFN,ARI,8,4
20170405,SFN,ARI,6,8
20170406,SFN,ARI,3,9
20170407,CLE,ARI,3,7
20170408,CLE,ARI,2,11
20170409,CLE,ARI,2,3
20170421,LAN,ARI,5,13
20170422,LAN,ARI,5,11
20170423,LAN,ARI,6,2
20170424,SDN,ARI,6,7
20170425,SDN,ARI,3,9
20170426,SDN,ARI,8,5
20170427,SDN,ARI,2,6
20170428,COL,ARI,3,1
20170429,COL,ARI,7,6
20170430,COL,ARI,0,2
20170509,DET,ARI,7,3
20170510,DET,ARI,1,7
20170511,PIT,ARI,1,2
20170512,PIT,ARI,4,11
20170513,PIT,ARI,4,3
20170514,PIT,ARI,6,4
20170515,NYN,ARI,3,7
20170516,NYN,ARI,4,5
20170517,NYN,ARI,4,5
20170522,CHA,ARI,1,5
20170523,CHA,ARI,4,5
20170524,CHA,ARI,6,8
20170606,SDN,ARI,2,10
20170607,SDN,ARI,4,7
20170608,SDN,ARI,3,15
20170609,MIL,ARI,8,6
20170610,MIL,ARI,2,3
20170611,MIL,ARI,1,11
20170623,PHI,ARI,6,1
20170624,PHI,ARI,2,9
20170625,PHI,ARI,1,2
20170626,PHI,ARI,1,6
20170627,SLN,ARI,5,6
20170628,SLN,ARI,4,3
20170629,SLN,ARI,10,4
20170630,COL,ARI,6,3
20170701,COL,ARI,2,6
20170702,COL,ARI,3,4
20170707,CIN,ARI,3,6
20170708,CIN,ARI,7,0
20170709,CIN,ARI,2,1
20170721,WAS,ARI,5,6
20170722,WAS,ARI,4,3
20170723,WAS,ARI,6,2
20170724,ATL,ARI,2,10
20170725,ATL,ARI,8,3
20170726,ATL,ARI,3,10
20170808,LAN,ARI,3,6
20170809,LAN,ARI,3,2
20170810,LAN,ARI,8,6
20170811,CHN,ARI,8,3
20170812,CHN,ARI,2,6
20170813,CHN,ARI,7,2
20170814,HOU,ARI,0,2
20170815,HOU,ARI,9,4
20170825,SFN,ARI,3,4
20170826,SFN,ARI,1,2
20170827,SFN,ARI,0,11
20170829,LAN,ARI,6,7
20170830,LAN,ARI,4,6
20170831,LAN,ARI,1,8
20170908,SDN,ARI,10,6
20170909,SDN,ARI,8,7
20170910,SDN,ARI,2,3
20170911,COL,ARI,5,4
20170912,COL,ARI,4,2
20170913,COL,ARI,2,8
20170914,COL,ARI,0,7
20170922,MIA,ARI,11,13
20170923,MIA,ARI,12,6
20170924,MIA,ARI,2,3
20170925,SFN,ARI,9,2
20170926,SFN,ARI,4,11
20170927,SFN,ARI,3,4
20170414,SDN,ATL,2,5
20170415,SDN,ATL,2,4
20170416,SDN,ATL,2,9
20170417,SDN,ATL,4,5
20170418,WAS,ATL,3,1
20170419,WAS,ATL,14,4
20170420,WAS,ATL,3,2
20170501,NYN,ATL,7,5
20170502,NYN,ATL,7,9
20170503,NYN,ATL,16,5
20170505,SLN,ATL,10,0
20170506,SLN,ATL,5,3
20170507,SLN,ATL,6,4
20170517,TOR,ATL,4,8
20170518,TOR,ATL,9,0
20170519,WAS,ATL,4,7
20170520,WAS,ATL,2,5
20170521,WAS,ATL,3,2
20170522,PIT,ATL,2,5
20170523,PIT,ATL,5,6
20170524,PIT,ATL,12,5
20170525,PIT,ATL,9,4
20170605,PHI,ATL,11,4
20170606,PHI,ATL,3,1
20170607,PHI,ATL,1,14
20170608,PHI,ATL,1,3
20170609,NYN,ATL,2,3
20170610,NYN,ATL,6,1
20170610,NYN,ATL,8,1
20170611,NYN,ATL,2,1
20170616,MIA,ATL,5,0
20170617,MIA,ATL,7,8
20170618,MIA,ATL,4,5
20170619,SFN,ATL,0,9
20170620,SFN,ATL,6,3
20170621,SFN,ATL,3,5
20170622,SFN,ATL,11,12
20170623,MIL,ATL,4,5
20170624,MIL,ATL,1,3
20170625,MIL,ATL,7,0
20170704,HOU,ATL,16,4
20170705,HOU,ATL,10,4
20170714,ARI,ATL,3,4
20170715,ARI,ATL,5,8
20170716,ARI,ATL,1,7
20170717,CHN,ATL,4,3
20170718,CHN,ATL,5,1
20170719,CHN,ATL,8,2
20170801,LAN,ATL,3,2
20170802,LAN,ATL,3,5
20170803,LAN,ATL,7,4
20170804,MIA,ATL,3,5
20170805,MIA,ATL,2,7
20170806,MIA,ATL,4,1
20170808,PHI,ATL,5,2
20170809,PHI,ATL,3,2
20170818,CIN,ATL,5,3
20170819,CIN,ATL,11,8
20170820,CIN,ATL,1,8
20170821,SEA,ATL,6,5
20170822,SEA,ATL,0,4
20170823,SEA,ATL,9,6
20170825,COL,ATL,2,5
20170826,COL,ATL,7,6
20170827,COL,ATL,3,0
20170904,TEX,ATL,8,2
20170906,TEX,ATL,12,8
20170906,TEX,ATL,4,5
20170907,MIA,ATL,5,6
20170908,MIA,ATL,7,1
20170909,MIA,ATL,5,6
20170910,MIA,ATL,8,10
20170915,NYN,ATL,2,3
20170916,NYN,ATL,7,3
20170917,NYN,ATL,5,1
20170919,WAS,ATL,4,2
20170920,WAS,ATL,7,3
20170921,WAS,ATL,2,3
20170922,PHI,ATL,2,7
20170923,PHI,ATL,2,4
20170924,PHI,ATL,2,0
20170403,TOR,BAL,2,3
20170405,TOR,BAL,1,3
20170407,NYA,BAL,5,6
20170408,NYA,BAL,4,5
20170409,NYA,BAL,7,3
20170421,BOS,BAL,0,2
20170422,BOS,BAL,2,4
20170423,BOS,BAL,6,2
20170424,TBA,BAL,3,6
20170425,TBA,BAL,2,0
20170426,TBA,BAL,4,5
20170505,CHA,BAL,2,4
20170506,CHA,BAL,5,6
20170507,CHA,BAL,0,4
20170508,WAS,BAL,4,6
20170509,WAS,BAL,4,5
20170519,TOR,BAL,3,5
20170520,TOR,BAL,5,7
20170521,TOR,BAL,3,1
20170522,MIN,BAL,14,7
20170523,MIN,BAL,2,0
20170524,MIN,BAL,4,3
20170529,NYA,BAL,2,3
20170530,NYA,BAL,8,3
20170531,NYA,BAL,4,10
20170601,BOS,BAL,5,7
20170602,BOS,BAL,2,3
20170603,BOS,BAL,5,2
20170604,BOS,BAL,7,3
20170606,PIT,BAL,5,6
20170607,PIT,BAL,6,9
20170616,SLN,BAL,11,2
20170617,SLN,BAL,7,15
20170618,SLN,BAL,5,8
20170619,CLE,BAL,12,0
20170620,CLE,BAL,5,6
20170621,CLE,BAL,5,1
20170622,CLE,BAL,6,3
20170630,TBA,BAL,6,4
20170701,TBA,BAL,10,3
20170702,TBA,BAL,1,7
20170714,CHN,BAL,9,8
20170715,CHN,BAL,10,3
20170716,CHN,BAL,8,0
20170717,TEX,BAL,1,3
20170718,TEX,BAL,1,12
20170719,TEX,BAL,2,10
20170720,TEX,BAL,7,9
20170721,HOU,BAL,8,7
20170722,HOU,BAL,8,4
20170723,HOU,BAL,7,9
20170731,KCA,BAL,1,2
20170801,KCA,BAL,2,7
20170802,KCA,BAL,0,6
20170803,DET,BAL,7,5
20170804,DET,BAL,5,2
20170805,DET,BAL,2,5
20170806,DET,BAL,3,12
20170818,ANA,BAL,7,9
20170819,ANA,BAL,5,1
20170820,ANA,BAL,5,4
20170821,OAK,BAL,3,7
20170822,OAK,BAL,6,4
20170823,OAK,BAL,7,8
20170828,SEA,BAL,6,7
20170829,SEA,BAL,0,4
20170830,SEA,BAL,7,8
20170831,TOR,BAL,11,8
20170901,TOR,BAL,0,1
20170902,TOR,BAL,7,2
20170903,TOR,BAL,4,5
20170904,NYA,BAL,7,4
20170905,NYA,BAL,6,7
20170907,NYA,BAL,9,1
20170918,BOS,BAL,10,8
20170919,BOS,BAL,1,0
20170920,BOS,BAL,9,0
20170921,TBA,BAL,1,3
20170922,TBA,BAL,8,3
20170923,TBA,BAL,9,6
20170924,TBA,BAL,4,9
20170403,PIT,BOS,3,5
20170405,PIT,BOS,0,3
20170411,BAL,BOS,1,8
20170412,BAL,BOS,12,5
20170413,PIT,BOS,3,4
20170414,TBA,BOS,10,5
20170415,TBA,BOS,1,2
20170416,TBA,BOS,5,7
20170417,TBA,BOS,3,4
20170426,NYA,BOS,3,1
20170427,NYA,BOS,3,0
20170428,CHN,BOS,4,5
20170429,CHN,BOS,7,4
20170430,CHN,BOS,2,6
20170501,BAL,BOS,5,2
20170502,BAL,BOS,2,5
20170503,BAL,BOS,2,4
20170504,BAL,BOS,8,3
20170512,TBA,BOS,5,4
20170513,TBA,BOS,3,6
