Date,vis_team,home_team,vis_score,home_score
20170407,LAN,COL,1,2
20170408,LAN,COL,2,4
20170409,LAN,COL,10,6
20170410,SDN,COL,5,3
20170411,SDN,COL,2,3
20170412,SDN,COL,6,0
20170421,SFN,COL,5,6
20170422,SFN,COL,3,12
20170423,SFN,COL,0,8
20170424,WAS,COL,4,8
20170425,WAS,COL,15,12
20170426,WAS,COL,11,4
20170427,WAS,COL,16,5
20170505,ARI,COL,6,3
20170506,ARI,COL,1,9
20170507,ARI,COL,2,5
20170509,CHN,COL,4,10
20170509,CHN,COL,8,1
20170510,CHN,COL,0,3
20170511,LAN,COL,7,10
20170512,LAN,COL,6,2
20170513,LAN,COL,4,0
20170514,LAN,COL,6,9
20170526,SLN,COL,0,10
20170527,SLN,COL,3,0
20170528,SLN,COL,4,8
20170529,SEA,COL,6,5
20170530,SEA,COL,10,4
20170606,CLE,COL,3,11
20170607,CLE,COL,1,8
20170615,SFN,COL,9,10
20170616,SFN,COL,8,10
20170617,SFN,COL,1,5
20170618,SFN,COL,5,7
20170620,ARI,COL,3,4
20170621,ARI,COL,16,5
20170622,ARI,COL,10,3
20170703,CIN,COL,3,5
20170704,CIN,COL,8,1
20170705,CIN,COL,3,5
20170706,CIN,COL,6,3
20170707,CHA,COL,4,12
20170708,CHA,COL,5,4
20170709,CHA,COL,0,10
20170717,SDN,COL,6,9
20170718,SDN,COL,7,9
20170719,SDN,COL,4,18
20170721,PIT,COL,13,5
20170722,PIT,COL,3,7
20170723,PIT,COL,3,13
20170801,NYN,COL,4,5
20170802,NYN,COL,10,5
20170803,NYN,COL,4,5
20170804,PHI,COL,3,4
20170805,PHI,COL,5,8
20170806,PHI,COL,3,2
20170814,ATL,COL,0,3
20170815,ATL,COL,4,3
20170816,ATL,COL,2,17
20170817,ATL,COL,10,4
20170818,MIL,COL,4,8
20170819,MIL,COL,6,3
20170820,MIL,COL,8,4
20170828,DET,COL,4,3
20170829,DET,COL,3,7
20170830,DET,COL,6,2
20170901,ARI,COL,9,5
20170902,ARI,COL,6,2
20170903,ARI,COL,5,1
20170904,SFN,COL,3,4
20170905,SFN,COL,6,9
20170906,SFN,COL,11,3
20170915,SDN,COL,1,6
20170916,SDN,COL,0,16
20170917,SDN,COL,4,3
20170925,MIA,COL,5,4
20170926,MIA,COL,0,6
20170927,MIA,COL,9,15
20170929,LAN,COL,1,9
20170930,LAN,COL,5,3
20171001,LAN,COL,6,3
